TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
21:38:42.854093,0.0,0.0,0.0,612,-814,7831,-51,0,46,-573,-43,289,2.0514125,14.3
21:38:42.929443,0.0,0.0,0.0,615,-807,7842,-51,3,46,-575,-53,289,2.045725,14.3
21:38:43.017111,0.0,0.0,0.0,611,-813,7824,-49,3,45,-587,-51,285,2.050275,14.3
21:38:43.096620,0.0,0.0,0.0,611,-813,7823,-51,2,45,-580,-54,286,2.045725,14.3
21:38:43.183226,0.0,0.0,0.0,614,-817,7832,-51,2,46,-578,-48,286,2.0571,14.3
21:38:43.266934,0.0,0.0,0.0,612,-816,7832,-51,1,48,-585,-49,283,2.0514125,14.3
21:38:43.346683,0.0,0.0,0.0,616,-812,7829,-50,4,46,-573,-55,287,2.048,14.3
21:38:43.434349,0.0,0.0,0.0,617,-814,7833,-51,3,46,-579,-49,285,2.0468625,14.3
21:38:43.524157,0.0,0.0,0.0,603,-820,7828,-51,2,46,-581,-45,291,2.0468625,14.3
21:38:43.618541,0.0,0.0,0.0,618,-815,7845,-50,2,48,-575,-49,283,2.041175,14.3
21:38:43.682643,0.0,0.0,0.0,616,-819,7823,-50,1,46,-579,-51,283,2.0445875,14.3
21:38:43.767343,0.0,0.0,0.0,620,-818,7846,-50,3,46,-573,-51,287,2.048,14.3
21:38:43.856487,0.0,0.0,0.0,614,-812,7846,-50,3,47,-585,-41,273,2.0468625,14.3
21:38:43.937369,0.0,0.0,0.0,616,-821,7825,-52,4,46,-581,-43,281,2.04345,14.3
21:38:44.025464,0.0,0.0,0.0,611,-814,7837,-52,1,46,-579,-47,287,2.045725,14.3
21:38:44.102573,0.0,0.0,0.0,612,-812,7835,-52,4,46,-584,-46,280,2.04345,14.3
21:38:44.191254,0.0,0.0,0.0,608,-815,7830,-50,4,45,-578,-44,280,2.0354875,14.3
21:38:44.271131,0.0,0.0,0.0,625,-813,7818,-51,1,45,-582,-52,288,2.0298,14.3
21:38:44.354737,0.0,0.0,0.0,605,-818,7830,-50,1,46,-585,-47,275,2.045725,14.3
21:38:44.441172,0.0,0.0,0.0,616,-812,7838,-50,3,46,-573,-47,283,2.048,14.3
21:38:44.552474,0.0,0.0,0.0,620,-814,7834,-51,3,46,-576,-52,286,2.045725,14.3
21:38:44.619992,0.0,0.0,0.0,610,-815,7824,-49,2,45,-576,-48,276,2.0491375,14.3
21:38:44.709131,0.0,0.0,0.0,620,-819,7828,-51,2,46,-578,-58,286,2.0491375,14.3
21:38:44.780513,0.0,0.0,0.0,620,-807,7831,-52,3,45,-585,-47,287,2.054825,14.3
21:38:44.871056,0.0,0.0,0.0,606,-818,7851,-49,4,45,-580,-54,292,2.0491375,14.3
21:38:44.950934,0.0,0.0,0.0,617,-814,7820,-49,2,46,-575,-51,291,2.0536875,14.3
21:38:45.027169,0.0,0.0,0.0,611,-815,7846,-52,1,47,-581,-49,279,2.0445875,14.3
21:38:45.111210,0.0,0.0,0.0,624,-817,7842,-51,1,46,-577,-57,285,2.0423125,14.3
21:38:45.195527,0.0,0.0,0.0,608,-822,7829,-51,2,46,-576,-58,284,2.0468625,14.3
21:38:45.279262,0.0,0.0,0.0,618,-819,7827,-50,3,47,-580,-52,280,2.045725,14.3
21:38:45.362222,0.0,0.0,0.0,610,-813,7824,-52,1,46,-575,-53,285,2.048,14.3
21:38:45.447521,0.0,0.0,0.0,617,-820,7832,-51,3,46,-580,-52,284,2.0514125,14.3
21:38:45.547260,0.0,0.0,0.0,611,-809,7824,-50,3,46,-578,-40,278,2.0400375,14.3
21:38:45.621298,0.0,0.0,0.0,609,-821,7835,-49,3,46,-575,-51,289,2.045725,14.3
21:38:45.723262,0.0,0.0,0.0,585,-864,7879,-50,5,48,-582,-46,278,2.0536875,14.3
21:38:45.809888,0.0,0.0,0.0,658,-779,7800,-51,2,48,-572,-52,284,2.05255,14.3
21:38:45.886951,0.0,0.0,0.0,568,-852,7934,-54,-1,44,-579,-55,289,2.0491375,14.3
21:38:45.969543,0.0,0.0,0.0,636,-790,7731,-43,15,50,-576,-42,284,2.04345,14.3
21:38:46.056553,0.0,0.0,0.0,606,-823,7908,-63,-16,43,-585,-47,277,2.0400375,14.3
21:38:46.137428,0.0,0.0,0.0,611,-790,7814,-36,22,45,-578,-44,278,2.048,14.3
21:38:46.224184,0.0,0.0,0.0,617,-844,7800,-61,-14,47,-583,-53,285,2.048,14.3
21:38:46.307579,0.0,0.0,0.0,606,-786,7892,-46,9,44,-580,-44,284,2.0445875,14.3
21:38:46.390238,0.0,0.0,0.0,616,-842,7784,-49,7,46,-571,-57,287,2.0559625,14.3
21:38:46.489019,0.0,0.0,0.0,617,-798,7808,-53,-3,47,-581,-51,281,2.048,14.3
21:38:46.569570,0.0,0.0,0.0,611,-824,7866,-50,1,46,-582,-56,294,2.050275,14.3
