TimeStamp,Roll,Pitch,Yaw,AccX,AccY,velX,velY,DistX,DistY
57:55.7,3.187743682,-1.558901363,91.31821224,-0.00034859,-0.003211625,0,0,0,0
57:55.8,3.185147308,-1.552585659,91.29517091,0.001818849,-0.009333607,-1.74295E-05,-0.000160581,0,0
57:56.0,3.180785132,-1.554886842,91.28683864,0.004182322,0.001251146,7.35129E-05,-0.000627262,-8.71476E-07,-8.02906E-06
57:56.1,3.181304988,-1.556638776,91.26124481,0.001547447,-0.001887631,0.000282629,-0.000564704,2.80417E-06,-3.93921E-05
57:56.2,3.181723779,-1.562923535,91.25157635,-0.003044263,0.004609181,0.000360001,-0.000659086,1.69356E-05,-6.76274E-05
57:56.4,3.193091796,-1.559513241,91.22249267,-0.016649933,-0.007604454,0.000207788,-0.000428627,3.49357E-05,-0.000100582
57:56.5,3.189879893,-1.561877865,91.27380272,0.004686769,0.001206349,-0.000624708,-0.000808849,4.53251E-05,-0.000122013
57:56.6,3.177632599,-1.569803864,91.36901676,0.02032081,0.007557449,-0.00039037,-0.000748532,1.40897E-05,-0.000162455
57:56.7,3.181011246,-1.56661221,91.35122962,-0.00250878,-0.0093263,0.000625671,-0.00037066,-5.42881E-06,-0.000199882
57:56.8,3.193223325,-1.566624822,91.30794073,-0.015801115,-0.00266547,0.000500232,-0.000836975,2.58547E-05,-0.000218415
57:57.0,3.190076171,-1.576195268,91.31317894,0.004403261,0.012045152,-0.000289824,-0.000970248,5.08663E-05,-0.000260264
57:57.1,3.180636936,-1.584017837,91.24129217,0.013741874,0.009737438,-6.96611E-05,-0.000367991,3.63751E-05,-0.000308776
57:57.2,3.183488892,-1.580239209,91.27127951,-0.004183682,-0.005822483,0.000617433,0.000118881,3.2892E-05,-0.000327176
57:57.4,3.181714199,-1.593818906,91.27242425,-0.004676888,0.015141551,0.000408248,-0.000172243,6.37637E-05,-0.000321232
57:57.5,3.196492458,-1.586555885,91.2627626,-0.023935502,-0.016014645,0.000174404,0.000584835,8.41761E-05,-0.000329844
57:57.7,3.172932058,-1.58884775,91.31785662,0.034722743,0.003788495,-0.001022371,-0.000215897,9.28963E-05,-0.000300602
57:57.8,3.163187307,-1.590465741,91.31704828,0.009863047,-0.002141981,0.000713766,-2.64727E-05,4.17777E-05,-0.000311397
57:57.9,3.179311272,-1.594122515,91.18458132,-0.028696086,0.001990847,0.001206919,-0.000133572,7.74661E-05,-0.000312721
