TimeStamp,Roll,Pitch,Yaw
23:47.6,6.690526526,-0.998568997,86.99168193
23:47.6,6.693648685,-0.992222879,87.03378267
23:47.8,6.69014188,-0.992819009,87.10042015
23:48.1,6.701752895,-0.984941341,87.09642255
23:48.1,6.70045624,-0.995732695,87.08889651
23:48.3,6.708830059,-1.014337762,87.08789888
23:48.4,6.711142308,-1.00460677,87.06247548
23:48.6,6.708664289,-0.995647204,87.12461619
23:48.8,6.689529244,-1.003388671,87.19529766
23:48.9,6.669669797,-1.004438357,87.18892016
23:49.0,6.669183814,-1.003790979,87.25538616
23:49.1,6.67252353,-1.00345382,87.18002796
23:49.3,6.677977879,-1.009836084,87.13507307
23:49.6,6.677110517,-1.009054752,87.10832077
23:49.6,6.670180155,-1.012521572,87.14918696
23:49.8,6.674811968,-1.009491385,87.24237424
23:50.1,6.673908948,-1.008754033,87.23670361
23:50.1,6.672476974,-1.009173475,87.26708564
23:50.2,6.678662157,-1.006525027,87.19867611
23:50.4,6.675605194,-1.006462127,87.25177123
23:50.5,6.679301271,-1.007450711,87.17523965
23:50.7,6.683974835,-1.009662301,87.22570361
23:50.7,6.680943591,-1.009961939,87.16885989
23:50.8,6.685988116,-1.009161784,87.11399504
23:51.0,6.687212078,-1.006453135,87.07652747
23:51.1,6.68920149,-1.003458075,87.14623083
23:51.2,6.696494504,-0.999303546,87.18456878
23:51.4,6.696587125,-0.997476086,87.29190226
23:51.6,6.696961967,-0.997255033,87.23624973
23:51.8,6.698305035,-0.997984553,87.34028645
23:52.1,6.69695887,-0.996140134,87.3368598
23:52.1,6.697474651,-0.992597823,87.36060816
23:52.3,6.707948955,-0.995647561,87.31974702
23:52.4,6.702716565,-0.998341708,87.25280343
23:52.6,6.701459806,-0.996681384,87.30182896
23:52.7,6.703636092,-1.002886175,87.36742797
23:52.9,6.718938909,-1.004713984,87.24613494
23:53.0,6.710439518,-1.008670689,87.24472365
23:53.1,6.699407227,-1.011425443,87.17976116
23:53.4,6.701064282,-1.013372897,87.16615339
23:53.5,6.69896023,-1.017642486,87.1589217
23:53.8,6.691224962,-1.016472442,87.16712814
23:53.9,6.689324976,-1.019399908,87.18868074
23:54.0,6.693793149,-1.015821171,87.12904423
23:54.1,6.698346966,-1.010607428,87.19277185
23:54.2,6.698238309,-1.015230489,87.2555587
23:54.4,6.695660485,-1.019005648,87.18900673
23:54.5,6.705692747,-1.017049691,87.26288619
23:54.6,6.70758283,-1.017104897,87.3031585
23:54.7,6.709639858,-1.018488048,87.36089189
23:54.8,6.707167722,-1.01541809,87.37065308
23:55.0,6.699573559,-1.014548508,87.3887787
23:55.3,6.656977242,-1.030285962,87.37212632
23:55.3,6.695158356,-1.01707887,87.35501492
23:55.4,6.680773348,-1.012680803,87.28265707
23:55.5,6.677794829,-1.02195729,87.23206426
23:55.6,6.713317396,-1.002291256,87.22138046
23:55.7,6.715575313,-1.026219201,87.17722941
23:55.8,6.752728732,-0.980247566,87.19472567
23:56.0,7.211985935,-0.810801941,87.11086704
23:56.3,9.410959128,-0.884289259,86.57934281
23:56.5,12.42163321,-1.130215671,85.44008231
23:56.8,16.71425071,-1.229802691,83.44779618
23:57.1,21.61493228,-1.782255294,80.92153766
23:57.2,26.41755972,-2.073831695,78.40893941
23:57.4,29.84794903,-2.457511135,76.25479828
23:57.7,31.33248493,-2.644650346,74.43295604
23:57.8,31.77065373,-2.83319392,72.96679189
23:57.9,31.46782433,-2.955833862,71.9438709
23:58.2,30.09618884,-2.60424828,71.36579234
23:58.3,27.21636294,-2.269247988,71.63037996
23:58.4,24.56899453,-2.180033444,72.38442453
23:58.5,22.70468313,-2.033948305,73.05258773
23:58.6,19.71071022,-1.65062129,73.86928529
23:58.7,16.45432974,-1.826982364,75.15046227
23:58.9,15.6222902,-1.433048984,76.5350179
23:59.1,14.80318674,-1.386759477,77.49227548
23:59.3,14.01443171,-1.395975926,78.33442225
23:59.4,13.41929207,-1.238393946,79.11040499
23:59.6,12.75019523,-1.234485786,79.93211113
