TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
16:51:03.387334,0.0,0.0,0.0,616,-814,7802,-51,4,45,-583,-43,279,2.0855375,14.4
16:51:03.409470,0.0,0.0,0.0,608,-809,7809,-50,4,46,-584,-46,286,2.0844,14.4
16:51:03.533664,0.0,0.0,0.0,610,-817,7815,-51,5,44,-573,-51,285,2.07075,14.4
16:51:03.643953,0.0,0.0,0.0,614,-808,7812,-50,5,45,-578,-54,286,2.07985,14.4
16:51:03.738803,0.0,0.0,0.0,610,-810,7807,-51,5,45,-578,-42,284,2.07075,14.4
16:51:03.804566,0.0,0.0,0.0,610,-816,7804,-51,3,45,-586,-54,286,2.07075,14.4
16:51:03.888036,0.0,0.0,0.0,612,-813,7812,-50,4,45,-579,-57,277,2.0718875,14.4
16:51:03.970686,0.0,0.0,0.0,619,-814,7801,-50,6,46,-587,-45,287,2.0582375,14.4
16:51:04.055432,0.0,0.0,0.0,617,-814,7809,-51,4,45,-586,-50,290,2.06165,14.4
16:51:04.141683,0.0,0.0,0.0,605,-812,7805,-52,5,44,-576,-50,282,2.0662,14.4
16:51:04.228049,0.0,0.0,0.0,609,-811,7791,-51,4,45,-579,-53,289,2.0753,14.4
16:51:04.312036,0.0,0.0,0.0,617,-811,7801,-52,3,46,-581,-55,287,2.07985,14.4
16:51:04.394767,0.0,0.0,0.0,615,-816,7802,-50,4,46,-579,-47,279,2.0809875,14.4
16:51:04.499400,0.0,0.0,0.0,609,-813,7817,-50,5,46,-577,-51,283,2.0753,14.4
16:51:04.565820,0.0,0.0,0.0,614,-812,7805,-51,6,46,-580,-52,284,2.0741625,14.4
16:51:04.658585,0.0,0.0,0.0,616,-819,7799,-50,3,46,-579,-53,293,2.0741625,14.4
16:51:04.728139,0.0,0.0,0.0,605,-808,7818,-51,5,46,-580,-46,284,2.0718875,14.4
16:51:04.839024,0.0,0.0,0.0,609,-813,7807,-50,5,46,-570,-48,288,2.073025,14.4
16:51:04.923022,0.0,0.0,0.0,607,-813,7805,-50,5,45,-579,-51,287,2.082125,14.4
16:51:05.006367,0.0,0.0,0.0,607,-817,7796,-51,5,46,-582,-50,286,2.07075,14.4
16:51:05.086184,0.0,0.0,0.0,616,-812,7798,-52,3,45,-586,-52,294,2.068475,14.4
16:51:05.172967,0.0,0.0,0.0,617,-817,7794,-51,4,44,-575,-53,287,2.0787125,14.4
16:51:05.256178,0.0,0.0,0.0,615,-815,7817,-51,5,45,-580,-54,290,2.073025,14.4
16:51:05.360589,0.0,0.0,0.0,615,-818,7798,-49,4,46,-588,-44,286,2.077575,14.4
16:51:05.422743,0.0,0.0,0.0,616,-819,7810,-51,3,46,-588,-46,290,2.0741625,14.4
16:51:05.507205,0.0,0.0,0.0,615,-807,7799,-51,4,44,-585,-57,291,2.077575,14.4
16:51:05.589617,0.0,0.0,0.0,615,-817,7804,-49,4,46,-579,-49,293,2.0639250000000002,14.4
16:51:05.669926,0.0,0.0,0.0,613,-823,7806,-51,5,45,-575,-59,281,2.0639250000000002,14.4
16:51:05.752852,0.0,0.0,0.0,612,-816,7810,-53,5,45,-576,-42,280,2.068475,14.4
16:51:05.839676,0.0,0.0,0.0,613,-812,7804,-51,5,44,-586,-50,290,2.0741625,14.4
16:51:05.924050,0.0,0.0,0.0,610,-811,7815,-51,4,45,-593,-53,289,2.0764375,14.4
16:51:06.021422,0.0,0.0,0.0,611,-808,7812,-49,5,45,-578,-54,288,2.0673375,14.4
16:51:06.090194,0.0,0.0,0.0,611,-816,7807,-50,5,44,-580,-52,290,2.0696125,14.4
16:51:06.206921,0.0,0.0,0.0,617,-815,7803,-50,5,44,-583,-41,295,2.0764375,14.4
16:51:06.284240,0.0,0.0,0.0,611,-810,7804,-50,5,45,-582,-48,290,2.0809875,14.4
16:51:06.369191,0.0,0.0,0.0,618,-813,7807,-52,4,46,-583,-45,297,2.07985,14.4
16:51:06.447338,0.0,0.0,0.0,607,-812,7807,-51,5,45,-586,-54,292,2.0753,14.4
16:51:06.534492,0.0,0.0,0.0,609,-809,7802,-51,4,45,-583,-49,291,2.07075,14.4
16:51:06.613348,0.0,0.0,0.0,613,-809,7798,-51,4,46,-581,-53,289,2.0764375,14.4
16:51:06.701314,0.0,0.0,0.0,612,-813,7797,-52,4,46,-579,-43,291,2.0787125,14.4
16:51:06.791876,0.0,0.0,0.0,614,-815,7811,-50,5,44,-579,-51,293,2.0900875,14.4
16:51:06.864962,0.0,0.0,0.0,612,-817,7812,-50,5,45,-580,-52,298,2.0844,14.4
16:51:06.950478,0.0,0.0,0.0,614,-812,7807,-50,4,46,-581,-61,295,2.0764375,14.4
16:51:07.033994,0.0,0.0,0.0,613,-809,7805,-51,4,46,-584,-48,292,2.073025,14.4
16:51:07.125126,0.0,0.0,0.0,611,-807,7813,-51,6,45,-584,-52,286,2.073025,14.4
16:51:07.208146,0.0,0.0,0.0,615,-816,7810,-50,4,45,-583,-47,279,2.0662,14.4
16:51:07.291408,0.0,0.0,0.0,611,-812,7806,-52,4,44,-580,-48,294,2.068475,14.4
16:51:07.393653,0.0,0.0,0.0,612,-814,7806,-51,5,45,-578,-58,294,2.0718875,14.4
16:51:07.456995,0.0,0.0,0.0,614,-816,7809,-51,3,46,-581,-49,289,2.0809875,14.4
16:51:07.535952,0.0,0.0,0.0,620,-815,7805,-51,5,45,-572,-54,292,2.077575,14.4
16:51:07.633925,0.0,0.0,0.0,614,-816,7810,-50,6,45,-576,-52,286,2.077575,14.4
16:51:07.705913,0.0,0.0,0.0,614,-820,7800,-51,4,46,-586,-54,288,2.0855375,14.4
16:51:07.790285,0.0,0.0,0.0,613,-818,7795,-51,4,45,-583,-47,293,2.0832625,14.4
16:51:07.889579,0.0,0.0,0.0,614,-816,7797,-50,4,45,-580,-56,290,2.0764375,14.4
16:51:07.955714,0.0,0.0,0.0,616,-812,7805,-50,5,44,-576,-48,286,2.0787125,14.4
16:51:08.047799,0.0,0.0,0.0,610,-815,7806,-50,5,45,-579,-53,295,2.07985,14.4
