TimeStamp,Latitude,Longitude,Velocity,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,MagX,MagY,MagZ,Current,Voltage
21:42:37.899966,0.0,0.0,0.0,599,-810,7839,-49,7,46,-581,-55,285,2.0389,14.3
21:42:37.960894,0.0,0.0,0.0,619,-812,7798,-50,5,47,-574,-50,282,2.0514125,14.3
21:42:38.046517,0.0,0.0,0.0,615,-814,7827,-52,1,46,-581,-57,289,2.048,14.3
21:42:38.135448,0.0,0.0,0.0,601,-809,7846,-51,3,45,-578,-50,288,2.0400375,14.3
21:42:38.210622,0.0,0.0,0.0,611,-816,7806,-48,6,45,-578,-48,292,2.041175,14.3
21:42:38.297329,0.0,0.0,0.0,614,-818,7815,-52,2,45,-575,-59,287,2.048,14.3
21:42:38.388091,0.0,0.0,0.0,611,-810,7846,-51,3,47,-585,-47,287,2.032075,14.3
21:42:38.464830,0.0,0.0,0.0,613,-811,7825,-50,5,48,-587,-45,287,2.0309375,14.3
21:42:38.553946,0.0,0.0,0.0,617,-816,7816,-51,3,44,-588,-44,282,2.0286625,14.3
21:42:38.632126,0.0,0.0,0.0,602,-815,7831,-52,4,44,-574,-50,282,2.036625,14.3
21:42:38.733511,0.0,0.0,0.0,613,-809,7838,-48,4,49,-582,-46,284,2.036625,14.3
21:42:38.808830,0.0,0.0,0.0,609,-810,7824,-51,3,47,-579,-55,287,2.0514125,14.3
21:42:38.912184,0.0,0.0,0.0,614,-810,7813,-52,3,47,-578,-54,288,2.0468625,14.3
21:42:38.998857,0.0,0.0,0.0,605,-816,7833,-50,3,46,-580,-54,290,2.045725,14.3
21:42:39.072137,0.0,0.0,0.0,607,-815,7822,-50,5,45,-576,-50,288,2.032075,14.3
21:42:39.162493,0.0,0.0,0.0,619,-820,7820,-51,2,45,-576,-54,278,2.0354875,14.3
