TimeStamp,Roll,Pitch,Yaw
22:02.8,6.264076166,0.58643027,-93.44762573
22:03.0,6.262773717,0.583445143,-93.4494926
22:03.1,6.262997164,0.580590215,-93.45136124
22:03.4,6.263063168,0.579427599,-93.45456927
22:03.7,6.264429111,0.581251108,-93.45591017
22:04.2,6.26321761,0.577737354,-93.45323072
22:04.6,6.265066878,0.573675804,-93.45679474
22:04.9,6.262310433,0.569392886,-93.46186769
22:05.2,6.261108336,0.565067753,-93.46542726
22:05.4,6.263939191,0.567375262,-93.46980105
22:05.5,6.266897995,0.56816778,-93.47435153
22:05.6,6.272939206,0.569049646,-93.47738964
22:05.8,6.276087726,0.567971716,-93.47908547
22:06.2,6.283685902,0.568806497,-93.48060977
22:06.3,6.297737781,0.566605524,-93.47794349
22:06.7,6.287123417,0.56451781,-93.48113803
22:06.8,6.285854116,0.561355626,-93.48149067
22:07.0,6.291416974,0.56731371,-93.48854402
22:07.2,6.289766709,0.549744033,-93.49823883
22:07.3,6.296279863,0.563856705,-93.49513239
22:07.5,6.296667038,0.559310108,-93.49566553
22:07.7,6.302708925,0.5601914,-93.49870301
22:08.0,6.305631455,0.561970727,-93.49852826
22:08.4,6.307349523,0.559424719,-93.50191667
22:08.6,6.310339301,0.560043961,-93.50495125
22:08.8,6.311865165,0.560175173,-93.5049528
22:09.6,6.313457672,0.559146645,-93.50816357
22:09.6,6.313493297,0.55816447,-93.51288815
22:09.9,6.313690153,0.555488276,-93.51627435
22:10.2,6.315284199,0.55446088,-93.51948492
22:10.5,6.318531366,0.552048142,-93.52287541
22:10.6,6.318598964,0.550888418,-93.52608447
22:10.7,6.320191697,0.54986053,-93.52929559
22:11.1,6.321686885,0.550170613,-93.53081275
22:11.3,6.323182196,0.550479731,-93.53232988
22:11.6,6.323280108,0.549142496,-93.53402367
22:11.9,6.326398954,0.548244153,-93.53723583
22:11.9,6.329389577,0.548863269,-93.54027007
22:12.2,6.331012953,0.547656418,-93.54196521
22:12.5,6.332604718,0.546627362,-93.54517641
22:12.7,6.334357496,0.543906207,-93.54705028
22:12.9,6.337477027,0.543010431,-93.55026296
22:13.2,6.340467715,0.543631737,-93.55329711
22:13.4,6.341963029,0.543941877,-93.55481426
22:13.6,6.343586887,0.542735683,-93.55650958
22:13.9,6.345082312,0.543045885,-93.55802662
22:14.2,6.348299034,0.540813772,-93.5629343
22:14.3,6.351546233,0.538402017,-93.56632608
22:14.7,6.354665603,0.537506152,-93.56953907
22:15.0,6.357687047,0.537946072,-93.57105778
22:15.2,6.360836209,0.536870748,-93.57275575
22:15.4,6.362589562,0.534150482,-93.57463068
22:15.8,6.358210325,0.531081619,-93.57801509
22:16.0,6.346739904,0.521125043,-93.5805904
22:16.1,6.354466833,0.520437093,-93.58229187
22:16.7,6.358886644,0.522523494,-93.58363268
22:16.8,6.355932791,0.520927074,-93.58532439
22:17.0,6.35224133,0.509932402,-93.5865773
22:17.0,6.391059675,0.541117747,-93.5864253
22:17.4,6.412189321,0.600102204,-93.58581651
22:18.1,6.404070431,0.586235958,-93.59197815
22:18.2,6.396854918,0.580067464,-93.59723843
22:18.5,6.376928045,0.57893921,-93.60177737
22:18.7,6.37091952,0.577091934,-93.60346935
22:18.8,6.366844409,0.570645717,-93.60418478
22:18.9,6.364487885,0.56165404,-93.60828741
22:19.2,6.361376751,0.561755063,-93.61131712
22:19.4,6.361472004,0.560418113,-93.61301112
22:19.6,6.361568011,0.559081182,-93.61470514
22:19.7,6.363130873,0.558230865,-93.61943104
22:19.8,6.370797199,0.557894118,-93.62415944
22:20.2,6.340105715,0.520529637,-93.63127564
22:20.3,6.315146335,0.488222283,-93.63784295
22:20.4,6.321988049,0.517251265,-93.62990733
22:20.6,6.31441701,0.516245684,-93.6268703
22:20.7,6.296709448,0.508077021,-93.62301557
22:20.9,6.468687951,0.640425783,-93.58471974
22:21.1,6.590240918,0.69201679,-93.45375007
22:21.5,7.555334695,0.17564249,-93.06799892
22:21.6,9.258660989,-0.17417924,-93.44617762
22:21.8,10.68136646,0.092961932,-94.27745012
22:22.2,12.22249912,0.741741656,-94.56848612
22:22.2,13.74367648,1.233911224,-94.57896152
22:22.5,15.45822055,1.026158095,-94.3551847
22:22.7,16.81366007,0.889814478,-94.41219794
