TimeStamp,Roll,Pitch,Yaw
11:02.6,-4.289060333,-3.786882496,122.6293869
11:02.6,-4.4086542,-3.803223077,125.8516048
11:02.9,-4.517405811,-3.809670597,128.9537377
11:03.1,-4.616388377,-3.81215743,131.9066611
11:03.4,-4.689146396,-3.800273515,134.7445212
11:03.6,-4.730865132,-3.774463901,137.4672248
11:03.8,-4.792018094,-3.767369966,140.0700876
11:03.9,-4.835842247,-3.745110237,142.5331333
11:04.0,-4.892313355,-3.730163455,144.864968
11:04.2,-4.912424926,-3.700197441,147.107848
11:04.3,-4.915072686,-3.665812132,149.1911052
11:04.4,-4.928521542,-3.637313782,151.1567623
11:04.6,-4.947018916,-3.60877971,153.034146
11:04.8,-4.927114737,-3.569919127,154.8114897
11:05.0,-4.921065321,-3.539796368,156.438615
11:05.2,-4.907541698,-3.509292488,157.9996492
11:05.4,-4.908492387,-3.480874115,159.4274189
11:05.5,-4.882704648,-3.447966773,160.7776844
11:05.6,-4.860955514,-3.419701771,162.0790602
11:05.7,-4.845142691,-3.384485883,163.2999913
11:05.8,-4.820794266,-3.355542288,164.5320353
11:06.0,-4.795605494,-3.328645808,165.5920582
11:06.1,-4.773274932,-3.302275147,166.6344145
11:06.2,-4.750502706,-3.280216783,167.5845934
11:06.3,-4.724903488,-3.257496199,168.4885803
11:06.4,-4.696031292,-3.234754314,169.3943995
11:06.5,-4.668159629,-3.212165288,170.126477
11:06.6,-4.638607773,-3.19836593,170.8372734
11:06.7,-4.613639509,-3.183017725,171.5203161
11:06.9,-4.57867165,-3.163102369,172.179629
11:07.1,-4.554491433,-3.146932399,172.7857991
11:07.2,-4.525834376,-3.131029317,173.3528581
11:07.3,-4.504460952,-3.117685989,173.8637883
11:07.5,-4.471233591,-3.107053545,174.3325214
11:07.7,-4.440095875,-3.09398844,174.7988531
11:07.9,-4.409711642,-3.080858233,175.2058906
11:08.1,-4.383539297,-3.066586927,175.6053866
11:08.3,-4.353035423,-3.053960137,175.9668545
11:08.4,-4.335897922,-3.043800261,176.3104404
11:08.6,-4.311930121,-3.036182669,176.5968814
11:08.7,-4.289431067,-3.024680986,176.9082397
11:08.8,-4.272633429,-3.017405006,177.2025297
11:08.9,-4.24833619,-3.009660849,177.452402
11:09.0,-4.233043332,-3.001329737,177.6889432
11:09.2,-4.215375343,-2.995299263,177.9170149
11:09.4,-4.199529519,-2.985254666,178.1245792
11:09.5,-4.184572862,-2.977992456,178.3336388
11:09.7,-4.168610371,-2.97181531,178.5270766
11:09.7,-4.152534073,-2.966990109,178.7075818
11:09.8,-4.137701224,-2.961418186,178.9016743
11:10.0,-4.120803922,-2.955397756,179.0677368
11:10.2,-4.109961035,-2.954241053,179.1791131
11:10.3,-4.093986444,-2.945937711,179.3055749
11:10.4,-4.080981937,-2.939334246,179.4230331
11:10.5,-4.068754185,-2.938920977,179.5400237
11:10.7,-4.055332015,-2.934970052,179.7142695
11:10.9,-4.047197337,-2.933569706,179.8179028
11:10.9,-4.036846435,-2.929278034,179.9107786
11:11.1,-4.026598562,-2.92717659,-179.9782197
11:11.2,-4.020826638,-2.929161851,-179.9000576
11:11.4,-4.014201415,-2.926104826,-179.8136979
11:11.5,-4.012216781,-2.923093697,-179.6738686
11:11.6,-4.002852086,-2.921220711,-179.6193784
11:11.7,-3.996020684,-2.920521983,-179.5844265
11:11.9,-3.995156447,-2.918677548,-179.4692656
11:12.1,-3.991690138,-2.914510349,-179.3909241
11:12.3,-3.986337498,-2.915245692,-179.3484352
11:12.5,-3.97863793,-2.913141746,-179.284647
11:12.6,-3.974442927,-2.914222748,-179.2900048
11:12.8,-3.967823391,-2.911265493,-179.2144198
