TimeStamp,xVel1,yVel1,xVel2,yVel2
21:45.4,0.000290217,0.00016999,-0.000558121,-0.000368256
21:45.5,0.000404103,0.000386143,-0.000990868,-0.000265568
21:45.9,0.000579513,0.000274121,-0.001173032,-0.000468158
21:46.0,0.00045597,0.000446082,-0.001507474,-0.000465831
21:46.1,0.000566426,0.000677938,-0.001068058,-0.000220425
21:46.2,0.000915776,0.000756731,-0.001525575,-0.000552457
21:46.3,0.001004953,0.000479808,-0.001090177,-0.000369632
21:46.5,0.000822777,0.000618432,-0.001356228,-0.000488129
21:46.6,0.000730722,0.000728752,-0.001522362,-0.000516306
21:46.7,0.000542467,0.000847185,-0.001482168,-0.000505424
21:46.9,0.000572651,0.000837438,-0.001220839,-0.000688836
21:47.0,0.00041705,0.000827234,-0.001451062,-0.001075883
21:47.1,0.000304137,0.00090191,-0.002084737,-0.001265675
21:47.2,0.000323871,0.00088605,-0.002364816,-0.000732336
21:47.4,-6.39E-05,0.000603285,-0.002222424,-0.000330164
21:47.5,-0.000451535,0.000784771,-0.002055112,-0.000466194
21:48.0,-0.000540839,0.000644341,-0.002571889,-0.000674342
21:48.0,-0.000403077,0.000633348,-0.002519605,-0.000355952
21:48.1,-0.000641632,0.001070493,-0.002447736,-3.44E-05
21:48.4,-0.000959102,0.000930228,-0.002839817,5.82E-05
21:48.6,-0.000727569,0.001042285,-0.002340941,-0.000428664
21:48.7,-0.000815889,0.001025945,-0.002170893,-0.0003383
21:48.8,-0.00086211,0.001287741,-0.00183974,-0.000400802
21:48.9,-0.000842292,0.001628542,-0.001186831,-0.000354302
21:49.0,-0.000589084,0.001718523,-0.001244332,-0.000143347
21:49.1,-0.000607784,0.002053493,-0.001329806,-0.000287384
21:49.2,-0.000722615,0.001982243,-0.001167824,-0.000176199
21:49.3,-0.000476395,0.001747737,-0.001236889,-5.71E-05
21:49.4,-0.000442788,0.001730208,-0.00044933,-0.000273674
21:49.5,-0.000487154,0.00184376,-0.001668603,0.000591153
21:49.6,-0.000449525,0.001736806,-0.000574545,0.000166542
21:49.7,-0.000842986,0.002117513,-0.001044631,-1.18E-05
21:49.9,-0.001076339,0.001954572,-0.00075749,-0.000256113
21:49.9,-0.001191992,0.002358557,-0.001120115,-0.000159713
21:50.1,-0.001113808,0.003015652,-0.000122177,-0.000363799
21:50.2,-0.000937757,0.003144915,-0.000580936,-0.00062726
21:50.3,-0.000824369,0.003337446,0.000456211,-0.000396838
21:50.5,-0.000741268,0.003514799,0.000217761,-0.000448133
21:50.5,-0.000709,0.003442409,0.000707369,-0.000368291
21:50.7,-0.000981024,0.003097628,0.000497695,-0.000436099
21:50.8,-0.001276993,0.002915473,0.000721575,-0.000951454
21:50.8,-0.001113691,0.003169014,0.000490104,-0.000962604
21:51.0,-0.001357214,0.003194912,-0.000460153,-0.000257294
21:51.1,-0.001544889,0.003651617,0.00110896,0.000163944
21:51.3,-0.00161693,0.003940959,0.000392116,-0.000104244
21:51.5,-0.001561055,0.003691293,5.81E-05,-0.000455925
21:51.6,-0.001837101,0.003809433,0.001150958,-0.000492963
21:51.7,-0.002329701,0.003670971,0.00171339,-0.000457441
21:51.8,-0.002113857,0.003424481,0.000777956,-0.00083434
21:52.0,-0.002267907,0.00388918,0.001429282,-0.000453067
21:52.0,-0.002203911,0.003699299,0.00184813,-0.00063557
21:52.2,-0.00165457,0.004013212,0.000909217,-0.000519189
21:52.3,-0.001084846,0.004213344,0.000866004,-0.000391344
21:52.4,-0.00099913,0.003930023,0.000538099,-0.000585846
21:52.6,-0.00148427,0.00393776,0.000607122,-0.000948273
21:52.7,-0.001749897,0.00437645,0.00111724,-0.000499659
21:52.9,-0.002095717,0.004660779,0.000869427,-0.000790143
21:53.0,-0.002445981,0.004769061,0.001510192,-0.000614903
21:53.8,-0.002776498,0.004981918,0.001673038,-0.00061867
21:53.9,-0.003244155,0.004925061,0.001688799,-0.000818719
21:54.1,-0.003408628,0.004622204,0.001706357,-0.000930647
21:54.3,-0.003119939,0.005512431,0.002202863,-0.000624864
21:54.4,-0.002533494,0.00438577,0.0019939,-0.000677574
21:54.5,-0.001794962,0.005422979,0.002044425,-0.000735905
21:54.6,-0.001022725,0.00532479,0.001995773,-0.000995813
21:54.7,-0.001105266,0.005750757,0.001869409,-0.000980059
